Páratartalom [%]	D1	D2	D3	D4	D5	D6	D7	D8	L1	L2	L3	L4	L5	L6	L7	L8	Méretszám	Idő különbség [perc]	Megerősített?
65	0	120	2373	16	0	1	1	2	2373	120	16	2	1	1	0	0	2513	8,3	1
65	0	0	1890	2848	313	0	0	0	2848	1890	313	0	0	0	0	0	5051	14,9	1
65	0	28	1368	2813	789	0	1	0	2813	1368	789	28	1	0	0	0	4999	38,6	1
50	1	0	0	556	1744	314	50	25	1744	556	314	50	25	1	0	0	2690	79	1
65	0	0	2689	3249	224	7	4	1	3249	2689	224	7	4	1	0	0	6174	15,7	1
65	0	0	0	1745	3027	314	0	0	3027	1745	314	0	0	0	0	0	5086	30,7	1
65	0	0	2356	2569	91	9	8	1	2569	2356	91	9	8	1	0	0	5034	11,8	1
50	3	2	73	0	428	379	155	33	428	379	155	73	33	3	2	0	1073	1,1	0
50	4	2	87	1213	411	7	2	5	1213	411	87	7	5	4	2	2	1731	1	0
50	2	9	15	5	21	1050	0	2	1050	21	15	9	5	2	2	0	1104	1	0
50	0	801	17	5	17	17	16	9	801	17	17	17	16	9	5	0	882	10,9	0
65	0	0	0	0	753	4398	418	0	4398	753	418	0	0	0	0	0	5569	11,5	1
50	22	101	0	0	852	235	18	0	852	235	101	22	18	0	0	0	1228	1,7	0
50	4	4	1	898	6	5	3	0	898	6	5	4	4	3	1	0	921	1,2	0
50	0	627	749	57	384	141	0	168	749	627	384	168	141	57	0	0	2126	1,1	0
50	2	10	0	0	180	0	804	0	804	180	10	2	0	0	0	0	996	11,9	0
65	0	0	0	3924	1474	0	0	0	3924	1474	0	0	0	0	0	0	5398	17,3	1
50	26	287	1987	3122	2645	632	133	52	3122	2645	1987	632	287	133	52	26	8884	5,5	0
50	3	0	0	0	3814	1920	0	0	3814	1920	3	0	0	0	0	0	5737	38,7	1
65	0	0	0	0	1968	2322	10	0	2322	1968	10	0	0	0	0	0	4300	84,5	1
51	4	4	78	48	852	627	0	0	852	627	78	48	4	4	0	0	1613	1,2	1
51	262	0	0	92	464	282	1207	0	1207	464	282	262	92	0	0	0	2307	19,3	0
51	4	331	1394	0	0	10	30	18	1394	331	30	18	10	4	0	0	1787	6,4	1
51	396	208	363	249	74	115	57	66	396	363	249	208	115	74	66	57	1528	2,6	0
51	4	7	0	1033	32	2	1	1	1033	32	7	4	2	1	1	0	1080	1,1	1
51	0	1245	106	0	32	9	0	162	1245	162	106	32	9	0	0	0	1554	1,4	0
51	34	0	1298	0	0	580	0	0	1298	580	34	0	0	0	0	0	1912	1,6	0
51	0	1218	162	0	0	34	0	46	1218	162	46	34	0	0	0	0	1460	40,6	0
64	0	0	0	1382	2776	195	0	0	2776	1382	195	0	0	0	0	0	4353	41,7	1
51	0	0	0	3373	3454	240	113	29	3454	3373	240	113	29	0	0	0	7209	183	1
65	0	0	346	2788	0	1	2	3	2788	346	3	2	1	0	0	0	3140	11,8	1
65	0	0	0	684	2652	2389	391	34	2652	2389	684	391	34	0	0	0	6150	68,9	1
64	0	0	0	332	2427	0	0	0	2427	332	0	0	0	0	0	0	2759	9,4	1
64	1890	804	0	0	0	2	1	0	1890	804	2	1	0	0	0	0	2697	2,5	1
65	0	0	0	2724	26	0	0	0	2724	26	0	0	0	0	0	0	2750	4,4	1
65	0	90	2289	3309	815	0	3	0	3309	2289	815	90	3	0	0	0	6506	76,6	0
52	22	36	171	315	811	1475	2407	1712	2407	1712	1475	811	315	171	36	22	6949	150,3	0
65	413	2816	346	3	1	0	0	0	2816	413	346	3	1	0	0	0	3579	45,9	1
66	0	0	4496	0	0	0	2	2	4496	2	2	0	0	0	0	0	4500	5,2	1
